N = 16;
C=16;
MC = 1;
lambda = 16;

w1 = 1000;
w2 = 10;
w3 = 1;

nodes = {
< 1 0.5 0.28867513459481287 >
< 2 1.0 0.5773502691896257 >
< 3 1.5 0.28867513459481287 >
< 4 2.0 0.5773502691896257 >
< 5 0.5 1.4433756729740643 >
< 6 1.0 1.1547005383792515 >
< 7 1.5 1.4433756729740643 >
< 8 2.0 1.1547005383792515 >
< 9 0.5 2.02072594216369 >
< 10 1.0 2.309401076758503 >
< 11 1.5 2.02072594216369 >
< 12 2.0 2.309401076758503 >
< 13 0.5 3.1754264805429417 >
< 14 1.0 2.886751345948129 >
< 15 1.5 3.1754264805429417 >
< 16 2.0 2.886751345948129 >
};

E = {
< 1 2 >
< 1 5 >
< 2 3 >
< 2 6 >
< 3 4 >
< 3 7 >
< 4 8 >
< 5 6 >
< 5 9 >
< 6 7 >
< 6 10 >
< 7 8 >
< 7 11 >
< 8 12 >
< 9 10 >
< 9 13 >
< 10 11 >
< 10 14 >
< 11 12 >
< 11 15 >
< 12 16 >
< 13 14 >
< 14 15 >
< 15 16 >
};
