N = 36;
C=16;
MC = 3;
lambda = 12;

w1 = 1000;
w2 = 10;
w3 = 1;

nodes = {
< 1 0.5 0.28867513459481287 >
< 2 1.0 0.5773502691896257 >
< 3 1.5 0.28867513459481287 >
< 4 2.0 0.5773502691896257 >
< 5 2.5 0.28867513459481287 >
< 6 3.0 0.5773502691896257 >
< 7 0.5 1.4433756729740643 >
< 8 1.0 1.1547005383792515 >
< 9 1.5 1.4433756729740643 >
< 10 2.0 1.1547005383792515 >
< 11 2.5 1.4433756729740643 >
< 12 3.0 1.1547005383792515 >
< 13 0.5 2.02072594216369 >
< 14 1.0 2.309401076758503 >
< 15 1.5 2.02072594216369 >
< 16 2.0 2.309401076758503 >
< 17 2.5 2.02072594216369 >
< 18 3.0 2.309401076758503 >
< 19 0.5 3.1754264805429417 >
< 20 1.0 2.886751345948129 >
< 21 1.5 3.1754264805429417 >
< 22 2.0 2.886751345948129 >
< 23 2.5 3.1754264805429417 >
< 24 3.0 2.886751345948129 >
< 25 0.5 3.7527767497325675 >
< 26 1.0 4.04145188432738 >
< 27 1.5 3.7527767497325675 >
< 28 2.0 4.04145188432738 >
< 29 2.5 3.7527767497325675 >
< 30 3.0 4.04145188432738 >
< 31 0.5 4.907477288111819 >
< 32 1.0 4.618802153517006 >
< 33 1.5 4.907477288111819 >
< 34 2.0 4.618802153517006 >
< 35 2.5 4.907477288111819 >
< 36 3.0 4.618802153517006 >
};

E = {
< 1 2 >
< 1 7 >
< 2 3 >
< 2 8 >
< 3 4 >
< 3 9 >
< 4 5 >
< 4 10 >
< 5 6 >
< 5 11 >
< 6 12 >
< 7 8 >
< 7 13 >
< 8 9 >
< 8 14 >
< 9 10 >
< 9 15 >
< 10 11 >
< 10 16 >
< 11 12 >
< 11 17 >
< 12 18 >
< 13 14 >
< 13 19 >
< 14 15 >
< 14 20 >
< 15 16 >
< 15 21 >
< 16 17 >
< 16 22 >
< 17 18 >
< 17 23 >
< 18 24 >
< 19 20 >
< 19 25 >
< 20 21 >
< 20 26 >
< 21 22 >
< 21 27 >
< 22 23 >
< 22 28 >
< 23 24 >
< 23 29 >
< 24 30 >
< 25 26 >
< 25 31 >
< 26 27 >
< 26 32 >
< 27 28 >
< 27 33 >
< 28 29 >
< 28 34 >
< 29 30 >
< 29 35 >
< 30 36 >
< 31 32 >
< 32 33 >
< 33 34 >
< 34 35 >
< 35 36 >
};
