N = 49;
C=16;
MC = 4;
lambda = 13;

w1 = 1000;
w2 = 10;
w3 = 1;

nodes = {
< 1 0.5 0.28867513459481287 >
< 2 1.0 0.5773502691896257 >
< 3 1.5 0.28867513459481287 >
< 4 2.0 0.5773502691896257 >
< 5 2.5 0.28867513459481287 >
< 6 3.0 0.5773502691896257 >
< 7 3.5 0.28867513459481287 >
< 8 0.5 1.4433756729740643 >
< 9 1.0 1.1547005383792515 >
< 10 1.5 1.4433756729740643 >
< 11 2.0 1.1547005383792515 >
< 12 2.5 1.4433756729740643 >
< 13 3.0 1.1547005383792515 >
< 14 3.5 1.4433756729740643 >
< 15 0.5 2.02072594216369 >
< 16 1.0 2.309401076758503 >
< 17 1.5 2.02072594216369 >
< 18 2.0 2.309401076758503 >
< 19 2.5 2.02072594216369 >
< 20 3.0 2.309401076758503 >
< 21 3.5 2.02072594216369 >
< 22 0.5 3.1754264805429417 >
< 23 1.0 2.886751345948129 >
< 24 1.5 3.1754264805429417 >
< 25 2.0 2.886751345948129 >
< 26 2.5 3.1754264805429417 >
< 27 3.0 2.886751345948129 >
< 28 3.5 3.1754264805429417 >
< 29 0.5 3.7527767497325675 >
< 30 1.0 4.04145188432738 >
< 31 1.5 3.7527767497325675 >
< 32 2.0 4.04145188432738 >
< 33 2.5 3.7527767497325675 >
< 34 3.0 4.04145188432738 >
< 35 3.5 3.7527767497325675 >
< 36 0.5 4.907477288111819 >
< 37 1.0 4.618802153517006 >
< 38 1.5 4.907477288111819 >
< 39 2.0 4.618802153517006 >
< 40 2.5 4.907477288111819 >
< 41 3.0 4.618802153517006 >
< 42 3.5 4.907477288111819 >
< 43 0.5 5.484827557301444 >
< 44 1.0 5.773502691896256 >
< 45 1.5 5.484827557301444 >
< 46 2.0 5.773502691896256 >
< 47 2.5 5.484827557301444 >
< 48 3.0 5.773502691896256 >
< 49 3.5 5.484827557301444 >
};

E = {
< 1 2 >
< 1 8 >
< 2 3 >
< 2 9 >
< 3 4 >
< 3 10 >
< 4 5 >
< 4 11 >
< 5 6 >
< 5 12 >
< 6 7 >
< 6 13 >
< 7 14 >
< 8 9 >
< 8 15 >
< 9 10 >
< 9 16 >
< 10 11 >
< 10 17 >
< 11 12 >
< 11 18 >
< 12 13 >
< 12 19 >
< 13 14 >
< 13 20 >
< 14 21 >
< 15 16 >
< 15 22 >
< 16 17 >
< 16 23 >
< 17 18 >
< 17 24 >
< 18 19 >
< 18 25 >
< 19 20 >
< 19 26 >
< 20 21 >
< 20 27 >
< 21 28 >
< 22 23 >
< 22 29 >
< 23 24 >
< 23 30 >
< 24 25 >
< 24 31 >
< 25 26 >
< 25 32 >
< 26 27 >
< 26 33 >
< 27 28 >
< 27 34 >
< 28 35 >
< 29 30 >
< 29 36 >
< 30 31 >
< 30 37 >
< 31 32 >
< 31 38 >
< 32 33 >
< 32 39 >
< 33 34 >
< 33 40 >
< 34 35 >
< 34 41 >
< 35 42 >
< 36 37 >
< 36 43 >
< 37 38 >
< 37 44 >
< 38 39 >
< 38 45 >
< 39 40 >
< 39 46 >
< 40 41 >
< 40 47 >
< 41 42 >
< 41 48 >
< 42 49 >
< 43 44 >
< 44 45 >
< 45 46 >
< 46 47 >
< 47 48 >
< 48 49 >
};
