N = 25;
C=16;
MC = 2;
lambda = 13;

w1 = 1000;
w2 = 10;
w3 = 1;

nodes = {
< 1 0.5 0.28867513459481287 >
< 2 1.0 0.5773502691896257 >
< 3 1.5 0.28867513459481287 >
< 4 2.0 0.5773502691896257 >
< 5 2.5 0.28867513459481287 >
< 6 0.5 1.4433756729740643 >
< 7 1.0 1.1547005383792515 >
< 8 1.5 1.4433756729740643 >
< 9 2.0 1.1547005383792515 >
< 10 2.5 1.4433756729740643 >
< 11 0.5 2.02072594216369 >
< 12 1.0 2.309401076758503 >
< 13 1.5 2.02072594216369 >
< 14 2.0 2.309401076758503 >
< 15 2.5 2.02072594216369 >
< 16 0.5 3.1754264805429417 >
< 17 1.0 2.886751345948129 >
< 18 1.5 3.1754264805429417 >
< 19 2.0 2.886751345948129 >
< 20 2.5 3.1754264805429417 >
< 21 0.5 3.7527767497325675 >
< 22 1.0 4.04145188432738 >
< 23 1.5 3.7527767497325675 >
< 24 2.0 4.04145188432738 >
< 25 2.5 3.7527767497325675 >
};

E = {
< 1 2 >
< 1 6 >
< 2 3 >
< 2 7 >
< 3 4 >
< 3 8 >
< 4 5 >
< 4 9 >
< 5 10 >
< 6 7 >
< 6 11 >
< 7 8 >
< 7 12 >
< 8 9 >
< 8 13 >
< 9 10 >
< 9 14 >
< 10 15 >
< 11 12 >
< 11 16 >
< 12 13 >
< 12 17 >
< 13 14 >
< 13 18 >
< 14 15 >
< 14 19 >
< 15 20 >
< 16 17 >
< 16 21 >
< 17 18 >
< 17 22 >
< 18 19 >
< 18 23 >
< 19 20 >
< 19 24 >
< 20 25 >
< 21 22 >
< 22 23 >
< 23 24 >
< 24 25 >
};
