N = 64;
C=16;
MC = 4;
lambda = 16;

w1 = 1000;
w2 = 10;
w3 = 1;

nodes = {
< 1 0.5 0.28867513459481287 >
< 2 1.0 0.5773502691896257 >
< 3 1.5 0.28867513459481287 >
< 4 2.0 0.5773502691896257 >
< 5 2.5 0.28867513459481287 >
< 6 3.0 0.5773502691896257 >
< 7 3.5 0.28867513459481287 >
< 8 4.0 0.5773502691896257 >
< 9 0.5 1.4433756729740643 >
< 10 1.0 1.1547005383792515 >
< 11 1.5 1.4433756729740643 >
< 12 2.0 1.1547005383792515 >
< 13 2.5 1.4433756729740643 >
< 14 3.0 1.1547005383792515 >
< 15 3.5 1.4433756729740643 >
< 16 4.0 1.1547005383792515 >
< 17 0.5 2.02072594216369 >
< 18 1.0 2.309401076758503 >
< 19 1.5 2.02072594216369 >
< 20 2.0 2.309401076758503 >
< 21 2.5 2.02072594216369 >
< 22 3.0 2.309401076758503 >
< 23 3.5 2.02072594216369 >
< 24 4.0 2.309401076758503 >
< 25 0.5 3.1754264805429417 >
< 26 1.0 2.886751345948129 >
< 27 1.5 3.1754264805429417 >
< 28 2.0 2.886751345948129 >
< 29 2.5 3.1754264805429417 >
< 30 3.0 2.886751345948129 >
< 31 3.5 3.1754264805429417 >
< 32 4.0 2.886751345948129 >
< 33 0.5 3.7527767497325675 >
< 34 1.0 4.04145188432738 >
< 35 1.5 3.7527767497325675 >
< 36 2.0 4.04145188432738 >
< 37 2.5 3.7527767497325675 >
< 38 3.0 4.04145188432738 >
< 39 3.5 3.7527767497325675 >
< 40 4.0 4.04145188432738 >
< 41 0.5 4.907477288111819 >
< 42 1.0 4.618802153517006 >
< 43 1.5 4.907477288111819 >
< 44 2.0 4.618802153517006 >
< 45 2.5 4.907477288111819 >
< 46 3.0 4.618802153517006 >
< 47 3.5 4.907477288111819 >
< 48 4.0 4.618802153517006 >
< 49 0.5 5.484827557301444 >
< 50 1.0 5.773502691896256 >
< 51 1.5 5.484827557301444 >
< 52 2.0 5.773502691896256 >
< 53 2.5 5.484827557301444 >
< 54 3.0 5.773502691896256 >
< 55 3.5 5.484827557301444 >
< 56 4.0 5.773502691896256 >
< 57 0.5 6.639528095680696 >
< 58 1.0 6.350852961085883 >
< 59 1.5 6.639528095680696 >
< 60 2.0 6.350852961085883 >
< 61 2.5 6.639528095680696 >
< 62 3.0 6.350852961085883 >
< 63 3.5 6.639528095680696 >
< 64 4.0 6.350852961085883 >
};

E = {
< 1 2 >
< 1 9 >
< 2 3 >
< 2 10 >
< 3 4 >
< 3 11 >
< 4 5 >
< 4 12 >
< 5 6 >
< 5 13 >
< 6 7 >
< 6 14 >
< 7 8 >
< 7 15 >
< 8 16 >
< 9 10 >
< 9 17 >
< 10 11 >
< 10 18 >
< 11 12 >
< 11 19 >
< 12 13 >
< 12 20 >
< 13 14 >
< 13 21 >
< 14 15 >
< 14 22 >
< 15 16 >
< 15 23 >
< 16 24 >
< 17 18 >
< 17 25 >
< 18 19 >
< 18 26 >
< 19 20 >
< 19 27 >
< 20 21 >
< 20 28 >
< 21 22 >
< 21 29 >
< 22 23 >
< 22 30 >
< 23 24 >
< 23 31 >
< 24 32 >
< 25 26 >
< 25 33 >
< 26 27 >
< 26 34 >
< 27 28 >
< 27 35 >
< 28 29 >
< 28 36 >
< 29 30 >
< 29 37 >
< 30 31 >
< 30 38 >
< 31 32 >
< 31 39 >
< 32 40 >
< 33 34 >
< 33 41 >
< 34 35 >
< 34 42 >
< 35 36 >
< 35 43 >
< 36 37 >
< 36 44 >
< 37 38 >
< 37 45 >
< 38 39 >
< 38 46 >
< 39 40 >
< 39 47 >
< 40 48 >
< 41 42 >
< 41 49 >
< 42 43 >
< 42 50 >
< 43 44 >
< 43 51 >
< 44 45 >
< 44 52 >
< 45 46 >
< 45 53 >
< 46 47 >
< 46 54 >
< 47 48 >
< 47 55 >
< 48 56 >
< 49 50 >
< 49 57 >
< 50 51 >
< 50 58 >
< 51 52 >
< 51 59 >
< 52 53 >
< 52 60 >
< 53 54 >
< 53 61 >
< 54 55 >
< 54 62 >
< 55 56 >
< 55 63 >
< 56 64 >
< 57 58 >
< 58 59 >
< 59 60 >
< 60 61 >
< 61 62 >
< 62 63 >
< 63 64 >
};
